2025-04-20 10:44:51,648 Bounding Box: ID=11, Category=motorcycle, Coordinates=(264, 271),(309, 320)
2025-04-20 10:44:51,648 Bounding Box: ID=12, Category=car, Coordinates=(403, 246),(434, 263)
2025-04-20 10:44:51,649 Bounding Box: ID=13, Category=person, Coordinates=(146, 234),(174, 288)
2025-04-20 10:44:51,649 Bounding Box: ID=16, Category=truck, Coordinates=(178, 222),(273, 262)
2025-04-20 10:44:51,649 Bounding Box: ID=17, Category=car, Coordinates=(429, 249),(446, 263)
2025-04-20 10:44:51,649 Bounding Box: ID=18, Category=bus, Coordinates=(0, 197),(11, 239)
2025-04-20 10:44:51,649 Bounding Box: ID=20, Category=motorcycle, Coordinates=(150, 258),(177, 302)
2025-04-20 10:44:51,649 Bounding Box: ID=21, Category=car, Coordinates=(111, 226),(128, 240)
2025-04-20 10:44:51,649 Bounding Box: ID=23, Category=bus, Coordinates=(452, 240),(508, 266)
2025-04-20 10:44:51,649 Bounding Box: ID=24, Category=car, Coordinates=(302, 242),(326, 258)
2025-04-20 10:44:54,320 Bounding Box: ID=1, Category=car, Coordinates=(487, 253),(618, 304)
2025-04-20 10:44:54,320 Bounding Box: ID=2, Category=car, Coordinates=(305, 245),(382, 287)
2025-04-20 10:44:54,320 Bounding Box: ID=3, Category=motorcycle, Coordinates=(514, 286),(626, 360)
2025-04-20 10:44:54,320 Bounding Box: ID=4, Category=motorcycle, Coordinates=(395, 272),(480, 342)
2025-04-20 10:44:54,320 Bounding Box: ID=5, Category=person, Coordinates=(580, 265),(619, 333)
2025-04-20 10:44:54,320 Bounding Box: ID=6, Category=bus, Coordinates=(741, 190),(848, 335)
2025-04-20 10:44:54,320 Bounding Box: ID=7, Category=person, Coordinates=(269, 247),(311, 307)
2025-04-20 10:44:54,320 Bounding Box: ID=8, Category=car, Coordinates=(660, 267),(746, 327)
2025-04-20 10:44:54,320 Bounding Box: ID=9, Category=truck, Coordinates=(637, 286),(848, 477)
