ID: 1, Category: car
Time: 10:46:42, Position: (168.5,245.5), Speed: 3.2596012026013246
Time: 10:46:44, Position: (162.0,245.0), Speed: 0.25
Time: 10:46:46, Position: (161.5,245.0), Speed: 2.0275875100994063
Time: 10:46:49, Position: (155.5,244.0), Speed: 0.010734855253898562
Time: 16:00:50, Position: (356.5,266.5), Speed: 1.2133516482134197
Time: 16:00:53, Position: (353.0,265.5), Speed: 2.5
Time: 16:00:56, Position: (345.5,265.5), Speed: 0.6871842709362768
Time: 16:00:59, Position: (343.5,266.0), Speed: 3.2882366094914763
Time: 16:01:01, Position: (337.0,265.0), Speed: 2.2638462845343543
Time: 16:01:03, Position: (332.5,264.5), Speed: 1.6298006013006623
Time: 16:01:07, Position: (326.0,264.0), Speed: 1.0
Time: 16:01:09, Position: (324.0,264.0), Speed: 2.173067468400883
Time: 16:01:12, Position: (317.5,263.5), Speed: 2.3048861143232218
Time: 16:01:14, Position: (313.0,262.5), Speed: 1.8408935028645435
Time: 16:01:17, Position: (307.5,262.0), Speed: 1.2747548783981961
Time: 16:01:19, Position: (305.0,262.5), Speed: 1.3743685418725535
Time: 16:01:22, Position: (301.0,261.5), Speed: 1.7677669529663689
Time: 16:01:24, Position: (297.5,261.0), Speed: 3.010398644698074
Time: 16:01:26, Position: (291.5,260.5), Speed: 0.0
Time: 16:01:29, Position: (291.5,260.5), Speed: 2.5
Time: 16:01:31, Position: (286.5,260.5), Speed: 1.118033988749895
Time: 16:01:33, Position: (284.5,259.5), Speed: 1.8333333333333333
Time: 16:01:36, Position: (279.0,259.5), Speed: 1.0
Time: 16:01:38, Position: (277.0,259.5), Speed: 1.8408935028645435
Time: 16:01:41, Position: (271.5,259.0), Speed: 2.2638462845343543
Time: 16:01:43, Position: (267.0,258.5), Speed: 1.536590742882148
Time: 16:01:46, Position: (262.5,257.5), Speed: 0.7905694150420949
Time: 16:01:48, Position: (261.0,257.0), Speed: 1.8408935028645435
Time: 16:01:51, Position: (255.5,256.5), Speed: 1.5
Time: 16:01:53, Position: (252.5,256.5), Speed: 2.7950849718747373
Time: 16:01:55, Position: (247.0,255.5), Speed: 0.16666666666666666
Time: 16:01:58, Position: (246.5,255.5), Speed: 1.6007810593582121
Time: 16:02:00, Position: (244.5,253.0), Speed: 0.9013878188659973
Time: 16:02:02, Position: (243.0,254.0), Speed: 0.0
Time: 16:02:04, Position: (243.0,254.0), Speed: 0.5
Time: 16:02:06, Position: (244.0,254.0), Speed: 2.25
Time: 16:02:08, Position: (239.5,254.0), Speed: 1.1785113019775793
Time: 16:02:11, Position: (236.0,253.5), Speed: 3.010398644698074
Time: 16:02:13, Position: (230.0,253.0), Speed: 0.47140452079103173
Time: 16:02:16, Position: (229.0,254.0), Speed: 3.2882366094914763
Time: 16:02:18, Position: (222.5,253.0), Speed: 1.5
Time: 16:02:21, Position: (218.0,253.0), Speed: 1.346291201783626
Time: 16:02:23, Position: (215.5,252.0), Speed: 0.25
Time: 16:02:25, Position: (216.0,252.0), Speed: 3.760171390892826
Time: 16:02:28, Position: (205.0,249.5), Speed: 0.25
Time: 16:02:30, Position: (205.0,250.0), Speed: 1.0307764064044151
Time: 16:02:32, Position: (203.0,249.5), Speed: 0.3333333333333333
Time: 16:02:35, Position: (204.0,249.5), Speed: 4.25
Time: 16:02:37, Position: (195.5,249.5), Speed: 1.75
Time: 16:02:39, Position: (192.0,249.5), Speed: 5.344389581607987
Time: 16:02:41, Position: (181.5,247.5), Speed: 0.3333333333333333
Time: 16:02:44, Position: (180.5,247.5), Speed: 4.808846015417836
Time: 16:02:46, Position: (171.0,246.0), Speed: 0.8498365855987974
Time: 16:02:49, Position: (168.5,245.5), Speed: 3.2596012026013246
Time: 16:02:51, Position: (162.0,245.0), Speed: 0.25
Time: 16:02:53, Position: (161.5,245.0), Speed: 2.0275875100994063

ID: 3, Category: motorcycle
Time: 10:44:44, Position: (604.5,328.0), Speed: 2.6516504294495533
Time: 10:44:48, Position: (594.0,326.5), Speed: 6.368324391514267
Time: 10:44:51, Position: (575.0,324.5), Speed: 1.7400510848184252
Time: 10:44:54, Position: (570.0,323.0), Speed: 6.222718234198157
Time: 10:44:57, Position: (551.5,320.5), Speed: 4.055175020198813
Time: 10:45:00, Position: (539.5,318.5), Speed: 9.5524865872714
Time: 10:45:02, Position: (520.5,316.5), Speed: 1.8408935028645435
Time: 10:45:05, Position: (515.0,316.0), Speed: 5.174724898753341
Time: 10:45:08, Position: (500.0,312.0), Speed: 11.543396380615196
Time: 10:45:09, Position: (488.5,311.0), Speed: 7.3569694847810805
Time: 10:45:11, Position: (474.0,308.5), Speed: 2.0615528128088303
Time: 10:45:13, Position: (470.0,307.5), Speed: 5.836308764964376
Time: 10:45:15, Position: (458.5,305.5), Speed: 5.0990195135927845
Time: 10:45:17, Position: (448.5,303.5), Speed: 5.325515102890153
Time: 10:45:20, Position: (433.5,298.0), Speed: 1.118033988749895
Time: 10:45:22, Position: (431.5,297.0), Speed: 3.3747427885527643
Time: 10:45:25, Position: (422.0,293.5), Speed: 2.7131367660166177
Time: 10:45:28, Position: (414.0,292.0), Speed: 3.562926387738658
Time: 10:45:31, Position: (403.5,290.0), Speed: 1.5206906325745548
Time: 10:45:33, Position: (400.5,289.5), Speed: 4.743416490252569
Time: 10:45:35, Position: (391.5,286.5), Speed: 2.1921577396609844
Time: 10:45:38, Position: (385.0,285.5), Speed: 5.618051263561058
Time: 10:45:40, Position: (374.5,281.5), Speed: 0.7453559924999299
Time: 10:45:43, Position: (372.5,280.5), Speed: 0.01252513300332018
Time: 16:00:50, Position: (604.5,328.0), Speed: 3.5355339059327378
Time: 16:00:53, Position: (594.0,326.5), Speed: 6.368324391514267
Time: 16:00:56, Position: (575.0,324.5), Speed: 1.7400510848184252
Time: 16:00:59, Position: (570.0,323.0), Speed: 9.334077351297235
